"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Vanuatu";"Oceania";"VUT";"VUT";"orchid";321226,077;0,000160849108927615;0;0,000360455166696936
"New Zealand";"Oceania";"NZL";"NZL";"orchid";45218273,242;0,0223907598165574;448;0,000581424943817616
"Nicaragua";"Americas";"NIC";"NIC";"palegreen3";8335152,451;0,00561792045934538;0;0,000567961085258447
"Niger";"Africa";"NER";"NER";"tomato";1571362,332;0,000640143875840321;0;0,000483573326873983
"Nigeria";"Africa";"NGA";"NGA";"tomato";63699820,016;0,0224179710276507;0;0,000575338396096972
"Niue";"Oceania";"NIU";"NIU";"orchid";7024,559;5,20532144546622e-06;0;1,53569492717987e-05
"Norfolk Isds";"Oceania";"NFK";"NFK";"orchid";3064,338;2,57744915540219e-06;0;4,9040541202632e-06
"Norway";"Europe";"NOR";"NOR";"skyblue";174343576,904;0,0400117676038376;1;0,000585007927936308
"N. Mariana Isds";"Oceania";"MNP";"MNP";"orchid";2846,02;1,40183902809185e-05;0;6,66173667507258e-06
"FS Micronesia";"Oceania";"FSM";"FSM";"orchid";329818,29;0,000111650671569836;0;0,000357938554142003
"Marshall Isds";"Oceania";"MHL";"MHL";"orchid";1067767,236;0,00367036802254217;0;0,000369668649370736
"Palau";"Oceania";"PLW";"PLW";"orchid";19670,66;4,48738932541066e-05;0;3,97491500063411e-05
"Pakistan";"Asia";"PAK";"PAK";"gold";37115584,997;0,0195587854734111;448;0,000574035729508227
"Panama";"Americas";"PAN";"PAN";"palegreen3";3704837,418;0,011828505148214;0;0,000462593799859971
"Papua New Guinea";"Oceania";"PNG";"PNG";"orchid";13880292,835;0,00406832677080529;0;0,00056552132239742
"Paraguay";"Americas";"PRY";"PRY";"palegreen3";11465650,419;0,00514392956908125;0;0,000566379562914161
"Peru";"Americas";"PER";"PER";"palegreen3";74958947,217;0,0371564512111981;0;0,000585052690853914
"Philippines";"Asia";"PHL";"PHL";"gold";96249162,03;0,0593069762517359;0;0,000583730422810953
"Pitcairn";"Oceania";"PCN";"PCN";"orchid";852,217;8,95324588957885e-07;0;9,0382916075671e-07
"Poland";"Europe";"POL";"POL";"skyblue";366707881,549;0,119599017431889;1332;0,000586940600875546
"Portugal";"Europe";"PRT";"PRT";"skyblue";86178464,008;0,0260769167870767;672;0,000582160311006559
"Guinea-Bissau";"Africa";"GNB";"GNB";"tomato";215881,106;8,5784647657866e-05;0;0,000354003321382812
"Timor-Leste";"Asia";"TLS";"TLS";"gold";88847,023;0,000206190268526762;0;0,000192132515983568
"Qatar";"Asia";"QAT";"QAT";"gold";88847213,557;0,0260024266212583;0;0,000584396775742663
"Romania";"Europe";"ROU";"ROU";"skyblue";106581892,357;0,0300856059988272;671;0,000583865849291325
"Russian Federation";"Europe";"RUS";"RUS";"skyblue";374422796,772;0,142124598558764;223;0,000587647718695898
"Rwanda";"Africa";"RWA";"RWA";"tomato";579987,731;0,000468120300746137;0;0,000321902645640836
"Saint Barth̩lemy";"Americas";"BLM";"BLM";"palegreen3";12636,153;2,84985379196185e-05;0;2,59931577741068e-05
"Saint Helena";"Africa";"SHN";"SHN";"tomato";32903,86;1,57212157546203e-05;0;4,1905394900138e-05
"Saint Kitts and Nevis";"Americas";"KNA";"KNA";"palegreen3";40324,004;0,000112482032696604;0;6,26954025316666e-05
"Anguilla";"Americas";"AIA";"AIA";"palegreen3";21607,36;4,13900168921129e-05;0;6,4820768034789e-05
"Saint Lucia";"Americas";"LCA";"LCA";"palegreen3";22749,029;0,000555974831500108;0;2,38053640085902e-05
"Saint Pierre and Miquelon";"Americas";"SPM";"SPM";"palegreen3";4349,032;1,38708743627701e-05;0;1,31091262222006e-05
"Saint Vincent and the Grenadines";"Americas";"VCT";"VCT";"palegreen3";26423,677;0,000111129780218755;0;4,15672820231862e-05
