"";"name";"continent";"color";"strength";"eigenv";"between";"closen"
"Mozambique";"Mozambique";"Africa";"tomato";13464160,018;0,00398405022455815;0;0,00203839453022884
"Oman";"Oman";"Asia";"gold";69632323,342;0,0242357350200941;0;0,00241711197776738
"Namibia";"Namibia";"Africa";"tomato";8024762,76;0,00232928385860341;0;0,00193167628053942
"Nauru";"Nauru";"Oceania";"orchid";202264,597;3,11322281019096e-05;0;0,000554364727788132
"Nepal";"Nepal";"Asia";"gold";1239178,159;0,00217288603491151;0;0,00155427325322113
"Netherlands";"Netherlands";"Europe";"skyblue";582982633,797;0,21215413032832;855;0,00243560012706903
"CuraÃ§ao";"CuraÃ§ao";"Americas";"palegreen3";322489,741;0,00056063674907235;0;0,000768349865664573
"Aruba";"Aruba";"Americas";"palegreen3";153607,062;0,000475614479305798;0;0,000414700389167198
"New Caledonia";"New Caledonia";"Oceania";"orchid";1374477,209;0,0006776849310651;0;0,00145619200999271
"Vanuatu";"Vanuatu";"Oceania";"orchid";321226,077;0,000160849202111092;0;0,000729232674358316
"New Zealand";"New Zealand";"Oceania";"orchid";45218273,242;0,0223907666065093;201;0,0023507862379033
"Nicaragua";"Nicaragua";"Americas";"palegreen3";8335152,451;0,00561792203613195;0;0,00216514451407803
"Niger";"Niger";"Africa";"tomato";1571362,332;0,000640144245741639;0;0,00135613395891766
"Nigeria";"Nigeria";"Africa";"tomato";63699820,016;0,0224179819717269;0;0,00226452673070406
"Norway";"Norway";"Europe";"skyblue";174343576,904;0,040011788146313;1;0,002404978897489
"FS Micronesia";"FS Micronesia";"Oceania";"orchid";329818,29;0,000111650728794007;0;0,000721027288850406
"Marshall Isds";"Marshall Isds";"Oceania";"orchid";1067767,236;0,00367037018407781;0;0,000763508922014893
"Pakistan";"Pakistan";"Asia";"gold";37115584,997;0,0195587953552378;402;0,00224645018524037
"Panama";"Panama";"Americas";"palegreen3";3704837,418;0,0118285096051112;0;0,00121664644792778
"Papua New Guinea";"Papua New Guinea";"Oceania";"orchid";13880292,835;0,00406832921064565;0;0,00213399295214905
"Paraguay";"Paraguay";"Americas";"palegreen3";11465650,419;0,00514393215634356;0;0,00214483768609524
"Peru";"Peru";"Americas";"palegreen3";74958947,217;0,0371564665383735;0;0,0024057754585855
"Philippines";"Philippines";"Asia";"gold";96249162,03;0,0593070049029587;0;0,0023858021516291
"Poland";"Poland";"Europe";"skyblue";366707881,549;0,119599079568851;1194;0,0024346144432957
"Portugal";"Portugal";"Europe";"skyblue";86178464,008;0,0260769297326941;603;0,00236248401920544
"Guinea-Bissau";"Guinea-Bissau";"Africa";"tomato";215881,106;8,57846989663277e-05;0;0,000705994299010906
"Timor-Leste";"Timor-Leste";"Asia";"gold";88847,023;0,000206190388593803;0;0,000281402965746399
"Qatar";"Qatar";"Asia";"gold";88847213,557;0,026002440860875;0;0,00239592264823357
"Romania";"Romania";"Europe";"skyblue";106581892,357;0,0300856232234454;602;0,00238781967906544
"Russian Federation";"Russian Federation";"Europe";"skyblue";374422796,772;0,142124683121533;200;0,00244562508229714
"Rwanda";"Rwanda";"Africa";"tomato";579987,731;0,000468120567080507;0;0,000598831041219132
"Saint Helena";"Saint Helena";"Africa";"tomato";32903,86;1,57212206889894e-05;0;4,92601745266223e-05
"Saint Kitts and Nevis";"Saint Kitts and Nevis";"Americas";"palegreen3";40324,004;0,000112482063163567;0;7,57567268064188e-05
"San Marino";"San Marino";"Europe";"skyblue";231294,263;8,12405671813388e-05;0;0,000123865321964256
"Sao Tome and Principe";"Sao Tome and Principe";"Africa";"tomato";48987,676;2,03091855189554e-05;0;4,85899492517963e-05
"Saudi Arabia";"Saudi Arabia";"Asia";"gold";307650537,289;0,107519517063115;1601;0,00243406593870917
"Senegal";"Senegal";"Africa";"tomato";6679440,641;0,0036910094734509;0;0,0015783872411612
"Serbia";"Serbia";"Europe";"skyblue";34927700,363;0,00902955455386528;201;0,00223647023581796
"Seychelles";"Seychelles";"Africa";"tomato";898937,879;0,000229440273753343;0;0,000879058666791286
"Sierra Leone";"Sierra Leone";"Africa";"tomato";1517629,776;0,00106225431459022;0;0,00161776147160676
"India";"India";"Asia";"gold";454780509,254;0,204507512699507;2953;0,00243485954993895
"Singapore";"Singapore";"Asia";"gold";330555564,008;0,148923418164096;800;0,00242698310180118
"Slovakia";"Slovakia";"Europe";"skyblue";118389620,995;0,0313935990040311;0;0,00239711667413105
"Viet Nam";"Viet Nam";"Asia";"gold";504977367,122;0,265335989574305;0;0,00244288023136781
"Slovenia";"Slovenia";"Europe";"skyblue";67846808,632;0,016232162692457;0;0,0023747084481391
"Somalia";"Somalia";"Africa";"tomato";508953,682;0,00068195698615665;0;0,00101688965477525
"South Africa";"South Africa";"Africa";"tomato";152235700,635;0,0496440255377325;1989;0,00241615652750668
"Zimbabwe";"Zimbabwe";"Africa";"tomato";7898470,17;0,00231534548022409;0;0,00205463317430855
"Spain";"Spain";"Europe";"skyblue";400747913,224;0,124860071471046;2216;0,00242023348120617
"South Sudan";"South Sudan";"Africa";"tomato";506954,792;0,000286929926787043;0;0,000927337592146217
"Sudan";"Sudan";"Africa";"tomato";3060915,094;0,0010440876350208;0;0,00150934110021382
"Suriname";"Suriname";"Americas";"palegreen3";1656663,651;0,000662631318989018;0;0,00177963830412305
"Eswatini";"Eswatini";"Africa";"tomato";2172779,553;0,000184479594100137;0;0,00182320491394709
"Sweden";"Sweden";"Europe";"skyblue";191533718,177;0,0536258656506595;2;0,00238662892113424
"Switzerland";"Switzerland";"Europe";"skyblue";398804885,309;0,146838814754641;1799;0,00243070850729671
"Syria";"Syria";"Asia";"gold";978860,503;0,000411068543165886;0;0,00113767016252457
"Tajikistan";"Tajikistan";"Asia";"gold";1689364,452;0,00207463599559375;0;0,00100460803757642
"Thailand";"Thailand";"Asia";"gold";340766655,983;0,149648373654433;1401;0,00242956083270513
"Togo";"Togo";"Africa";"tomato";2327328,052;0,00265281091886711;0;0,00149059004341804
"Tokelau";"Tokelau";"Oceania";"orchid";35844,455;5,38432250338141e-06;0;6,6953464518673e-05
"Trinidad and Tobago";"Trinidad and Tobago";"Americas";"palegreen3";11033655,707;0,00475606954203134;0;0,002142186732721
"United Arab Emirates";"United Arab Emirates";"Asia";"gold";309551308,463;0,112381961313978;1398;0,00242264801901187
"Tunisia";"Tunisia";"Africa";"tomato";23344786,434;0,00693966086524799;0;0,00223158596775181
"TÃ¼rkiye";"TÃ¼rkiye";"Asia";"gold";267377806,988;0,0816458740643858;1532;0,00239344005535101
"Turkmenistan";"Turkmenistan";"Asia";"gold";13457374,203;0,00542361157336551;0;0,00233956381214156
"Tuvalu";"Tuvalu";"Oceania";"orchid";80189,663;1,88123926577732e-05;0;0,000319964401413015
"Uganda";"Uganda";"Africa";"tomato";8881087,148;0,00265450917068784;401;0,00204499269479797
"Ukraine";"Ukraine";"Europe";"skyblue";46148666,586;0,0168344995978622;0;0,00220738499188558
"North Macedonia";"North Macedonia";"Europe";"skyblue";9254017,281;0,00262679902940573;0;0,00213622572414179
"Egypt";"Egypt";"Africa";"tomato";53006222,753;0,0221934513863586;0;0,00224542266618973
"United Kingdom";"United Kingdom";"Europe";"skyblue";423679302,703;0,224334606268382;603;0,00243144420487304
"United Rep. of Tanzania";"United Rep. of Tanzania";"Africa";"tomato";11979635,815;0,00534692341481934;0;0,00199531267447334
"USA";"USA";"Americas";"palegreen3";1897844747,989;1;15481;0,00244814125413635
"Burkina Faso";"Burkina Faso";"Africa";"tomato";9459680,149;0,00156304093888215;0;0,00226092507292137
"Uruguay";"Uruguay";"Americas";"palegreen3";12290790,485;0,00512947610177194;0;0,00204789102302838
"Uzbekistan";"Uzbekistan";"Asia";"gold";22835275,918;0,0100882922627648;0;0,00225140701588565
"Venezuela";"Venezuela";"Americas";"palegreen3";13609199,518;0,00966452815384262;0;0,00227106717110506
"Samoa";"Samoa";"Oceania";"orchid";39835,711;0,000110513687392589;0;4,03685356666406e-05
"Yemen";"Yemen";"Asia";"gold";661397,694;0,00178560789750641;0;0,000698184379162063
"Zambia";"Zambia";"Africa";"tomato";14520198,405;0,00381353275104921;0;0,00220706538463306
