"";"name";"continent";"color";"strength";"iso3";"label";"eigenv";"between";"closen"
"Belgium";"Belgium";"Europe";"skyblue";437993130,852;"BEL";"BEL";0,12459460741013;201;0,000440222975333805
"Bermuda";"Bermuda";"Americas";"palegreen3";3317200,094;"BMU";"BMU";0,000983624932867714;0;0,000422388532617748
"Bhutan";"Bhutan";"Asia";"gold";1437781,993;"BTN";"BTN";0,000239795130459136;0;0,00040993177975115
"Bolivia (Plurinational State of)";"Bolivia (Plurinational State of)";"Americas";"palegreen3";9885387,584;"BOL";"BOL";0,00343966665059843;0;0,000423836834816974
"Bosnia Herzegovina";"Bosnia Herzegovina";"Europe";"skyblue";16436828,339;"BIH";"BIH";0,00270284130846691;0;0,000420551280996547
"Botswana";"Botswana";"Africa";"tomato";6462216,117;"BWA";"BWA";0,00120091674490181;0;0,00043044680618674
"Brazil";"Brazil";"Americas";"palegreen3";275989304,341;"BRA";"BRA";0,157895652889414;801;0,00044031490538932
"Belize";"Belize";"Americas";"palegreen3";1661490,848;"BLZ";"BLZ";0,000675634733819044;0;0,000391037134666429
"Solomon Isds";"Solomon Isds";"Oceania";"orchid";554556,225;"SLB";"SLB";0,000348367758603866;0;0,0003089536953247
"Br. Virgin Isds";"Br. Virgin Isds";"Americas";"palegreen3";1017113,059;"VGB";"VGB";0,000342022040699098;0;0,000325583973629551
"Brunei Darussalam";"Brunei Darussalam";"Asia";"gold";7952381,857;"BRN";"BRN";0,00322984854956962;0;0,000425420116462662
"Bulgaria";"Bulgaria";"Europe";"skyblue";53822002,838;"BGR";"BGR";0,0117429793496486;0;0,000434001103387227
"Myanmar";"Myanmar";"Asia";"gold";20830655,953;"MMR";"MMR";0,00922680851047447;0;0,000435938599960193
"Burundi";"Burundi";"Africa";"tomato";483961,976;"BDI";"BDI";8,01401745127139e-05;0;0,000223420229855926
"Belarus";"Belarus";"Europe";"skyblue";16464717,896;"BLR";"BLR";0,00489642841553973;0;0,000435004075778455
"Cambodia";"Cambodia";"Asia";"gold";37521035,514;"KHM";"KHM";0,0197619677485646;0;0,000438022532091911
"Cameroon";"Cameroon";"Africa";"tomato";8230007,371;"CMR";"CMR";0,00345539037516056;201;0,000430472999914742
"Canada";"Canada";"Americas";"palegreen3";533151871,675;"CAN";"CAN";0,459251843195151;201;0,000440824762196303
"Cabo Verde";"Cabo Verde";"Africa";"tomato";997253,053;"CPV";"CPV";0,000114876235688432;0;0,000363853482565724
"Cayman Isds";"Cayman Isds";"Americas";"palegreen3";6477185,385;"CYM";"CYM";0,0016014179634341;0;0,000424822180795849
"Central African Rep.";"Central African Rep.";"Africa";"tomato";826854,552;"CAF";"CAF";0,000164211144432876;0;0,000304172035436359
"Sri Lanka";"Sri Lanka";"Asia";"gold";19194040,994;"LKA";"LKA";0,00654420518516065;0;0,000432106429068845
"Chad";"Chad";"Africa";"tomato";1158481,587;"TCD";"TCD";0,00108066111982762;0;0,000356162544578538
"Chile";"Chile";"Americas";"palegreen3";82591754,117;"CHL";"CHL";0,0549520609497348;0;0,000438897201653632
"China";"China";"Asia";"gold";2090351058,196;"CHN";"CHN";0,855534988193348;31147;0,000440856778102516
"Colombia";"Colombia";"Americas";"palegreen3";63065745,54;"COL";"COL";0,0323743859650684;0;0,000438683935476335
"Comoros";"Comoros";"Africa";"tomato";352663,102;"COM";"COM";7,04362465676512e-05;0;0,000232707862849961
"Congo";"Congo";"Africa";"tomato";4393168,473;"COG";"COG";0,0034636202103108;0;0,000418375624708137
"Dem. Rep. of the Congo";"Dem. Rep. of the Congo";"Africa";"tomato";11520867,171;"COD";"COD";0,0136071890516406;0;0,000431990894129702
"Cook Isds";"Cook Isds";"Oceania";"orchid";263436,341;"COK";"COK";2,85952201813873e-05;0;0,000230240962557992
"Costa Rica";"Costa Rica";"Americas";"palegreen3";23667731,94;"CRI";"CRI";0,0147372344210021;0;0,000436486034257013
"Croatia";"Croatia";"Europe";"skyblue";46638554,122;"HRV";"HRV";0,00716500125779321;0;0,000434978708191125
"Cuba";"Cuba";"Americas";"palegreen3";3675210,027;"CUB";"CUB";0,0010298858652459;0;0,00039846816854115
"Cyprus";"Cyprus";"Asia";"gold";15832361,213;"CYP";"CYP";0,00189501977798615;201;0,000425848823710839
"Czechia";"Czechia";"Europe";"skyblue";230183900,456;"CZE";"CZE";0,0751187763225816;0;0,000440062021602555
"Benin";"Benin";"Africa";"tomato";4599661,597;"BEN";"BEN";0,000922286845986025;201;0,000400216695512504
"Denmark";"Denmark";"Europe";"skyblue";124875176,687;"DNK";"DNK";0,0383636221061508;402;0,000439245076093957
"Dominican Rep.";"Dominican Rep.";"Americas";"palegreen3";32691283,947;"DOM";"DOM";0,0165264101852883;0;0,000437977002468213
"Ecuador";"Ecuador";"Americas";"palegreen3";28270688,506;"ECU";"ECU";0,0182442364452058;0;0,000435160657074405
"El Salvador";"El Salvador";"Americas";"palegreen3";16373543,417;"SLV";"SLV";0,00594999980708181;0;0,000432348407799273
"Equatorial Guinea";"Equatorial Guinea";"Africa";"tomato";1008644,468;"GNQ";"GNQ";0,00108246534270239;0;0,000289439228759114
"Ethiopia";"Ethiopia";"Africa";"tomato";7224165,284;"ETH";"ETH";0,00274618588483063;0;0,00042915571976534
"Eritrea";"Eritrea";"Africa";"tomato";345682,974;"ERI";"ERI";0,000340765704188947;0;0,000283128958194665
"Estonia";"Estonia";"Europe";"skyblue";24364465,542;"EST";"EST";0,00476639166891307;0;0,000426213881103216
"Fiji";"Fiji";"Oceania";"orchid";3514901,866;"FLK";"FLK";0,000891841901866611;0;0,000394618727777329
"Finland";"Finland";"Europe";"skyblue";77744873,056;"FJI";"FJI";0,0240255021613648;199;0,000437347928076584
"France";"France";"Europe";"skyblue";745646808,838;"FIN";"FIN";0,219600633149457;1385;0,000440555515579243
"French Polynesia";"French Polynesia";"Oceania";"orchid";1798721,67;"FRA";"FRA";0,000339716119979555;0;0,000399458171226009
"Djibouti";"Djibouti";"Africa";"tomato";6903459,756;"PYF";"PYF";0,00179077778957557;0;0,00043013219997992
"Gabon";"Gabon";"Africa";"tomato";2670723,791;"DJI";"DJI";0,00251551752182454;0;0,000392422852123667
"Georgia";"Georgia";"Asia";"gold";13150337,159;"GAB";"GAB";0,00205205827808663;0;0,000426446256984093
"Gambia";"Gambia";"Africa";"tomato";2037718,79;"GEO";"GEO";0,000399373712848086;201;0,000370563940405206
"State of Palestine";"State of Palestine";"Asia";"gold";2003475,586;"GMB";"GMB";0,000190040927897761;0;0,0004033293965002
