"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Gibraltar";"Europe";"GIB";"GIB";"skyblue";0;0,000856057730088911;0;NA
"Greece";"Europe";"GRC";"GRC";"skyblue";50693895,377;0,0165304517964098;56;0,00611914428409456
"Greenland";"Americas";"GRL";"GRL";"palegreen3";1095558,532;0,000212876112830632;0;0,00253796826244431
"Guatemala";"Americas";"GTM";"GTM";"palegreen3";13322850,384;0,0134574331639722;0;0,00619612029301864
"Guinea";"Africa";"GIN";"GIN";"tomato";8797498,836;0,00580291724193625;0;0,00678958970672783
"Guyana";"Americas";"GUY";"GUY";"palegreen3";17875634,028;0,00588543533390498;0;0,00634285777176433
"Haiti";"Americas";"HTI";"HTI";"palegreen3";637429,166;0,00119968571801917;0;0,0024006194352346
"Honduras";"Americas";"HND";"HND";"palegreen3";8993915,688;0,00826998430515788;0;0,00612265430024883
"China, Hong Kong SAR";"Asia";"HKG";"HKG";"gold";151287623,6;0,221637037745999;186;0,00782474196439055
"Hungary";"Europe";"HUN";"HUN";"skyblue";156968836,286;0,0449826449496047;0;0,0077368460411556
"Iceland";"Europe";"ISL";"ISL";"skyblue";6402478,897;0,00265319971044247;0;0,00483151791134307
"Indonesia";"Asia";"IDN";"IDN";"gold";291892137,02;0,124519791773984;174;0,00794556470302055
"Iran";"Asia";"IRN";"IRN";"gold";11871186,14;0,00789301483470584;0;0,00605926482678238
"Iraq";"Asia";"IRQ";"IRQ";"gold";108761693,457;0,0403157911523125;0;0,00782016621341891
"Ireland";"Europe";"IRL";"IRL";"skyblue";241659474,305;0,0980277846301195;0;0,00790955824952886
"Israel";"Asia";"ISR";"ISR";"gold";61431418,962;0,0352299053287816;0;0,00751442869213329
"Italy";"Europe";"ITA";"ITA";"skyblue";636141286,009;0,183405837724795;1978;0,00792039668222109
"C̫te d'Ivoire";"Africa";"CIV";"CIV";"tomato";23434443,696;0,00581495223031101;172;0,00625319906434459
"Jamaica";"Americas";"JAM";"JAM";"palegreen3";502572,25;0,0021849052147191;0;0,0015328022894581
"Japan";"Asia";"JPN";"JPN";"gold";727094175,076;0,355194263783289;0;0,00803350077167178
"Kazakhstan";"Asia";"KAZ";"KAZ";"gold";85015098,142;0,0290427365873308;0;0,0073834831515622
"Jordan";"Asia";"JOR";"JOR";"gold";8202152,051;0,00677130920049114;0;0,00557263946540288
"Kenya";"Africa";"KEN";"KEN";"tomato";6428551,32;0,00558273255510109;0;0,00272355085795799
"Dem. People's Rep. of Korea";"Asia";"PRK";"PRK";"gold";337113,485;0,00101951639396794;0;0,00147664095128094
"Rep. of Korea";"Asia";"KOR";"KOR";"gold";717443196,589;0,332688917313556;173;0,00804089944852048
"Kuwait";"Asia";"KWT";"KWT";"gold";64835040,026;0,020135802002461;0;0,00720492636605997
"Kyrgyzstan";"Asia";"KGZ";"KGZ";"gold";9011748,462;0,0111094486805293;0;0,00525755112102537
"Lao People's Dem. Rep.";"Asia";"LAO";"LAO";"gold";9670412,647;0,00478907813816657;0;0,00595938661527024
"Lebanon";"Asia";"LBN";"LBN";"gold";644272,15;0,00213760521881501;0;0,00119626677166518
"Lesotho";"Africa";"LSO";"LSO";"tomato";962310,104;0,000307740412604748;0;0,00189013767566257
"Latvia";"Europe";"LVA";"LVA";"skyblue";16701273,415;0,00327317078998696;0;0,00438594577290856
"Liberia";"Africa";"LBR";"LBR";"tomato";1138800,352;0,00792154339168355;0;0,00297705128148024
"Libya";"Africa";"LBY";"LBY";"tomato";29257937,956;0,00730690887419973;371;0,00662899174416885
"Lithuania";"Europe";"LTU";"LTU";"skyblue";36570174,429;0,00842106724715026;357;0,00570894899311757
"Luxembourg";"Europe";"LUX";"LUX";"skyblue";15822385,738;0,00625753172615496;0;0,00563982897183378
"China, Macao SAR";"Asia";"MAC";"MAC";"gold";1539452,581;0,00322823071912034;0;0,00401596425404763
"Madagascar";"Africa";"MDG";"MDG";"tomato";2057812,125;0,00136659537231769;0;0,00236059136975945
"Malawi";"Africa";"MWI";"MWI";"tomato";0;0,000311584793688743;0;NA
"Malaysia";"Asia";"MYS";"MYS";"gold";403361961,889;0,169693959995379;173;0,00799182910447347
"Maldives";"Asia";"MDV";"MDV";"gold";0;0,000616781318354869;0;NA
"Mali";"Africa";"MLI";"MLI";"tomato";758972,269;0,000575044186283875;0;0,00139821142674291
"Malta";"Europe";"MLT";"MLT";"skyblue";4608179,231;0,00378186589028881;0;0,00304841781303621
"Mauritania";"Africa";"MRT";"MRT";"tomato";3486671,733;0,00166265068333632;0;0,00379801988386058
"Mauritius";"Africa";"MUS";"MUS";"tomato";1449705,107;0,00111320845841565;0;0,00128114702579999
"Mexico";"Americas";"MEX";"MEX";"palegreen3";648458039,684;0,528942864672413;0;0,00803525408133902
"Other Asia, nes";"Asia";NA;"Oth";"gold";522403449,804;0,229953182455992;0;0,00801374202443579
"Mongolia";"Asia";"MNG";"MNG";"gold";14499146,305;0,00927743052391206;0;0,00732374525523079
"Rep. of Moldova";"Europe";"MDA";"MDA";"skyblue";2706297,219;0,00116359874945873;0;0,00358850425210003
"Montenegro";"Europe";"MNE";"MNE";"skyblue";547431,932;0,000425014417440334;0;0,00148199627478996
"Morocco";"Africa";"MAR";"MAR";"tomato";64161687,643;0,0219007070059624;0;0,00709453864455208
"Mozambique";"Africa";"MOZ";"MOZ";"tomato";12183529,194;0,00376617296708436;0;0,0049984548877507
"Oman";"Asia";"OMN";"OMN";"gold";67867167,282;0,0240906750745192;0;0,00775652229355744
"Namibia";"Africa";"NAM";"NAM";"tomato";6785583,76;0,00209970300440716;0;0,0044412765935272
"Nauru";"Oceania";"NRU";"NRU";"orchid";141766,832;1,17383924887109e-05;0;0,000688194566156685
"Nepal";"Asia";"NPL";"NPL";"gold";867584,541;0,00192627612241649;0;0,00292803553979078
"Netherlands";"Europe";"NLD";"NLD";"skyblue";578403716,1;0,212127806400463;771;0,00793474195558018
"Cura̤ao";"Americas";"CUW";"CUW";"palegreen3";237103,927;0,000465879612243418;0;0,00105191092227418
"Aruba";"Americas";"ABW";"ABW";"palegreen3";0;0,000397636228348257;0;NA
"New Caledonia";"Oceania";"NCL";"NCL";"orchid";947356,8;0,000512039370384373;0;0,00262080263986166
"Vanuatu";"Oceania";"VUT";"VUT";"orchid";209277,143;0,000103519783172398;0;0,00098522354630869
"New Zealand";"Oceania";"NZL";"NZL";"orchid";41757165,176;0,0222874320085028;0;0,0071473162535892
"Nicaragua";"Americas";"NIC";"NIC";"palegreen3";7302570,832;0,00534652807916938;0;0,00576445376025705
"Niger";"Africa";"NER";"NER";"tomato";924506,126;0,000506557105186434;0;0,00233453025688722
"Nigeria";"Africa";"NGA";"NGA";"tomato";61972964,82;0,0222807392478311;0;0,00646133579664218
"Norway";"Europe";"NOR";"NOR";"skyblue";172011282,234;0,0399304348645438;1;0,0076402466985114
"FS Micronesia";"Oceania";"FSM";"FSM";"orchid";202105,404;1,67344683010302e-05;0;0,000945922832087036
"Marshall Isds";"Oceania";"MHL";"MHL";"orchid";394266,95;0,00353878099675471;0;0,00104339177075322
"Pakistan";"Asia";"PAK";"PAK";"gold";33143818,365;0,019447810028683;0;0,00632869961957301
"Panama";"Americas";"PAN";"PAN";"palegreen3";1772976,985;0,0115845113593096;0;0,00197306701132161
"Papua New Guinea";"Oceania";"PNG";"PNG";"orchid";13157552,026;0,00389974228629021;0;0,00556478407279252
"Paraguay";"Americas";"PRY";"PRY";"palegreen3";9718066,441;0,00485324135079551;0;0,00563271156469189
"Peru";"Americas";"PER";"PER";"palegreen3";72789488,393;0,0370191487256959;0;0,00764895816025496
"Philippines";"Asia";"PHL";"PHL";"gold";93667919,723;0,0592430277578242;0;0,00746485957396095
"Poland";"Europe";"POL";"POL";"skyblue";363112489,684;0,11955828404539;894;0,0079252027720293
"Portugal";"Europe";"PRT";"PRT";"skyblue";82533234,568;0,0259181920609297;174;0,00724705922824018
"Guinea-Bissau";"Africa";"GNB";"GNB";"tomato";199276,66;2,25502474377926e-05;0;0,000934984566397932
"Timor-Leste";"Asia";"TLS";"TLS";"gold";0;0,000152332152220589;0;NA
"Qatar";"Asia";"QAT";"QAT";"gold";87587491,661;0,025904680422871;0;0,00755802120020969
"Romania";"Europe";"ROU";"ROU";"skyblue";103680825,618;0,0299531677211847;359;0,00748349957855106
"Russian Federation";"Europe";"RUS";"RUS";"skyblue";372447968,967;0,142042382311001;172;0,00803411483397318
"Rwanda";"Africa";"RWA";"RWA";"tomato";159743,066;0,000318150868905479;0;0,00077416669509972
"Saint Kitts and Nevis";"Americas";"KNA";"KNA";"palegreen3";0;7,82944032057795e-05;0;NA
"Saudi Arabia";"Asia";"SAU";"SAU";"gold";304955301,757;0,107448973557714;913;0,00791985000018204
"Senegal";"Africa";"SEN";"SEN";"tomato";5021220,181;0,00349354728695436;0;0,00300898418280025
"Serbia";"Europe";"SRB";"SRB";"skyblue";32677802,161;0,00879666223609043;173;0,00625728850551571
"Seychelles";"Africa";"SYC";"SYC";"tomato";277967,757;5,01537851416125e-05;0;0,00125172785336538
"Sierra Leone";"Africa";"SLE";"SLE";"tomato";1096066,522;0,000890288232198684;0;0,00314379881794105
"India";"Asia";"IND";"IND";"gold";451756495,541;0,204481398403985;2321;0,00792838657883196
"Singapore";"Asia";"SGP";"SGP";"gold";326407904,744;0,148872372996336;173;0,00784573374658358
"Slovakia";"Europe";"SVK";"SVK";"skyblue";115905359,32;0,0312902382268639;0;0,00756834238295685
"Viet Nam";"Asia";"VNM";"VNM";"gold";503120299,18;0,265317236332922;0;0,00800700715983552
"Slovenia";"Europe";"SVN";"SVN";"skyblue";64959585,79;0,0160439648633199;0;0,0073662172078385
"Somalia";"Africa";"SOM";"SOM";"tomato";352157,274;0,000599854149227276;0;0,0015238648180507
"South Africa";"Africa";"ZAF";"ZAF";"tomato";148659162,842;0,0495863371295927;1748;0,00774972025504337
"Zimbabwe";"Africa";"ZWE";"ZWE";"tomato";6685073,395;0,00203103457503526;0;0,00508987872625654
